Date,Open,High,Low,Close,Adj Close,Volume
2022/02/10,3.85,3.88,3.65,3.69,3.69,671682
2022/02/11,3.63,3.64,3.48,3.57,3.57,674196
2022/02/14,3.45,3.47,3.24,3.3,3.3,772348
2022/02/15,3.26,3.33,3.07,3.2,3.2,1081759
2022/02/16,3.31,3.34,3.16,3.18,3.18,623498
2022/02/17,3.18,3.26,3.02,3.06,3.06,975939
2022/02/18,3,3.14,2.96,3.08,3.08,615725
2022/02/21,3.02,3.06,2.96,3.02,3.02,458348
2022/02/22,3.02,3.02,2.8,2.83,2.83,753445
2022/02/23,2.8,3.05,2.75,2.98,2.98,855805
2022/02/24,2.95,2.95,2.69,2.7,2.7,822251
2022/02/25,2.82,2.84,2.68,2.73,2.73,727106
2022/02/28,2.78,2.79,2.62,2.62,2.62,487209
2022/03/01,2.7,2.88,2.69,2.85,2.85,492067
2022/03/02,2.82,2.84,2.74,2.77,2.77,333449
2022/03/03,2.86,3.02,2.82,3.01,3.01,567966
2022/03/04,2.99,2.99,2.76,2.79,2.79,432781
2022/03/07,2.8,2.8,2.7,2.7,2.7,408141
2022/03/08,2.64,2.75,2.57,2.6,2.6,542246
2022/03/09,2.65,2.7,2.62,2.66,2.66,306289
2022/03/10,2.74,2.85,2.73,2.77,2.77,366224
2022/03/11,2.8,2.8,2.66,2.71,2.71,268902
2022/03/14,2.7,2.75,2.62,2.67,2.67,381650
2022/03/15,2.65,2.74,2.61,2.65,2.65,240827
2022/03/16,2.75,2.75,2.64,2.69,2.69,199228
2022/03/17,2.74,2.87,2.74,2.84,2.84,324632
2022/03/18,2.87,2.9,2.77,2.89,2.89,331976
2022/03/21,2.9,2.93,2.79,2.83,2.83,281133
2022/03/22,2.8,2.82,2.76,2.77,2.77,211923
2022/03/23,2.77,2.81,2.71,2.73,2.73,364270
2022/03/24,2.71,2.81,2.69,2.71,2.71,136878
2022/03/25,2.77,2.84,2.7,2.71,2.71,371125
2022/03/28,2.73,2.74,2.67,2.67,2.67,249210
2022/03/29,2.69,2.7,2.63,2.64,2.64,479446
2022/03/30,2.63,2.77,2.63,2.7,2.7,334112
2022/03/31,2.7,2.7,2.62,2.65,2.65,237346
2022/04/01,2.63,2.7,2.62,2.66,2.66,217145
2022/04/04,2.7,2.7,2.61,2.65,2.65,319419
2022/04/05,2.72,3.04,2.72,2.92,2.92,1325353
2022/04/06,3.12,3.32,3.04,3.1,3.1,1837833
2022/04/07,3.12,3.12,2.9,2.9,2.9,473377
2022/04/08,2.93,3.08,2.9,3.05,3.05,362988
2022/04/11,3.06,3.06,2.8,2.87,2.87,512991
2022/04/12,2.85,2.85,2.71,2.72,2.72,300245
2022/04/13,2.7,2.78,2.69,2.74,2.74,498600
2022/04/14,2.78,2.79,2.71,2.73,2.73,254388
